,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,MSC,0.3,0.0,0.631578947368421,0.3,0.5,0.5833333333333334,0.0,0.4,0.0,0.0
1,Medie Settore (Top brand),0.5399999999999999,0.5764705882352941,0.7263157894736841,0.58,0.4375,0.6166666666666668,0.1875,0.3,0.375,0.1
2,Medie Globali,0.6518585974256924,0.7470035113613859,0.7293854958143259,0.5308708927260731,0.38040114658225327,0.6165113989639481,0.21996733213257758,0.4077622186071938,0.4747874981206908,0.3747466622575263
