,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici
(N/A)","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Snam,1.0,1.0,0.89,0.6,0.42,0.58,0.01,0.7,1.0,1.0
1,Medie Settore (Energia),0.92,0.94,0.84,0.71,0.47,0.73,,0.56,0.74,0.8
2,Medie Globali,0.65,0.75,0.68,0.53,0.38,0.61,0.18,0.41,0.47,0.37
