,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Parmalat,0.6,0.9411764705882353,0.8947368421052632,0.55,0.5,0.4166666666666667,0.0,0.6,0.5625,0.5
1,Medie Settore (Food),0.54,0.5294117647058824,0.5684210526315789,0.33999999999999997,0.3,0.4333333333333334,0.0,0.34,0.325,0.1
2,Medie Globali,0.6518585974256924,0.7470035113613859,0.7293854958143259,0.5308708927260731,0.38040114658225327,0.6165113989639481,0.21996733213257758,0.4077622186071938,0.4747874981206908,0.3747466622575263
