,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici
(N/A)","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Prada,0.6,0.7647058823529411,0.6666666666666666,0.0,0.5,0.5833333333333334,0.01,0.6,0.0,0.0
1,Medie Settore (Fashion),0.44000000000000006,0.6705882352941176,0.5444444444444445,0.3,0.2666666666666667,0.45000000000000007,0.19999999999999998,0.2,0.275,0.25
2,Medie Globali,0.6518585974256925,0.7470035113613857,0.6799155398874456,0.5308708927260731,0.3804011465822533,0.6165113989639482,0.17597386570606205,0.4077622186071938,0.4747874981206908,0.3747466622575263
