,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici
(N/A)","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Tim,1.0,1.0,0.89,0.65,0.67,0.83,0.01,0.6,0.94,0.75
1,Medie Settore (Telefonia),0.74,0.9,0.82,0.59,0.55,0.76,0.1,0.64,0.8,0.65
2,Medie Globali,0.65,0.75,0.68,0.53,0.38,0.61,0.18,0.41,0.47,0.37
