,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,"Lobbying
(N/A)","Conflitto 
d'Interesse","Finanziamenti 
Politici
(N/A)","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Terna,0.9,0.94,0.83,0.55,0.01,0.83,0.01,0.5,0.69,0.5
1,Medie Settore (Energia),0.92,0.94,0.84,0.71,0.47,0.73,,0.56,0.74,0.8
2,Medie Globali,0.65,0.75,0.68,0.53,0.38,0.61,0.18,0.41,0.47,0.37
