,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,"Lobbying
(N/A)","Conflitto 
d'Interesse","Finanziamenti 
Politici
(N/A)","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Enel,0.7,0.9411764705882353,0.8421052631578947,0.8,0.01,0.8333333333333334,0.01,0.3,0.3125,0.75
1,Medie Settore (Energia),0.9199999999999999,0.9411764705882352,0.9052631578947368,0.7100000000000001,0.47222222222222227,0.7333333333333334,0.01,0.5599999999999999,0.7375,0.8
2,Medie Globali,0.6518585974256924,0.7470035113613859,0.7293854958143259,0.5308708927260731,0.38040114658225327,0.6165113989639481,0.21996733213257758,0.4077622186071938,0.4747874981206908,0.3747466622575263
