,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici
(N/A)","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Rina,1.0,0.7647058823529411,0.5555555555555556,0.85,0.5,1.0,0.01,0.2,0.5,0.75
1,Medie Settore (Altri settori),0.8,0.7529411764705881,0.7222222222222222,0.7299999999999999,0.4833333333333333,0.7000000000000001,0.30000000000000004,0.62,0.575,0.7
2,Medie Globali,0.6518585974256925,0.7470035113613857,0.6799155398874456,0.5308708927260731,0.3804011465822533,0.6165113989639482,0.17597386570606205,0.4077622186071938,0.4747874981206908,0.3747466622575263
