,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,"Lobbying
(N/A)","Conflitto 
d'Interesse","Finanziamenti 
Politici
(N/A)","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,RAI,0.6,0.9411764705882353,0.8888888888888888,0.4,0.01,0.5833333333333334,0.01,0.5,0.4375,0.0
1,Medie Settore (Top brand),0.5399999999999999,0.5764705882352941,0.6555555555555557,0.58,0.4375,0.6166666666666668,0.15,0.3,0.375,0.1
2,Medie Globali,0.6518585974256925,0.7470035113613857,0.6799155398874456,0.5308708927260731,0.3804011465822533,0.6165113989639482,0.17597386570606205,0.4077622186071938,0.4747874981206908,0.3747466622575263
