,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici
(N/A)","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Ast,0.9,0.8823529411764706,0.7368421052631579,0.65,0.6666666666666666,1.0,0.01,0.9,0.875,0.75
1,Medie Settore (Altri settori),0.8,0.7529411764705881,0.7578947368421053,0.7299999999999999,0.4833333333333333,0.7000000000000001,0.375,0.62,0.575,0.7
2,Medie Globali,0.6518585974256924,0.7470035113613859,0.7293854958143259,0.5308708927260731,0.38040114658225327,0.6165113989639481,0.21996733213257758,0.4077622186071938,0.4747874981206908,0.3747466622575263
