,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Luxotica,0.7,0.94,0.83,0.6,0.42,0.58,0.6,0.4,0.75,0.75
1,Medie Settore (Fashion),0.44,0.67,0.54,0.3,0.27,0.45,0.2,0.2,0.28,0.25
2,Medie Globali,0.65,0.75,0.68,0.53,0.38,0.61,0.18,0.41,0.47,0.37
