,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,A.C. Milan S.p.A.,0.3,0.53,0.5,0.15,0.5,0.33,0.0,0.0,0.0,0.25
1,Medie Settore (Calcio),0.42,0.63,0.57,0.3,0.17,0.58,0.1,0.04,0.15,0.1
2,Medie Globali,0.65,0.75,0.68,0.53,0.38,0.61,0.18,0.41,0.47,0.37
