,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici
(N/A)","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Intesa San Paolo,0.7,0.8823529411764706,0.9444444444444444,0.55,0.0,0.5833333333333334,0.01,0.7,0.5625,0.75
1,Medie Settore (Finanziario),0.76,0.8823529411764707,0.7666666666666666,0.5800000000000001,0.41666666666666663,0.7500000000000001,0.3,0.6,0.55,0.65
2,Medie Globali,0.6518585974256925,0.7470035113613857,0.6799155398874456,0.5308708927260731,0.3804011465822533,0.6165113989639482,0.17597386570606205,0.4077622186071938,0.4747874981206908,0.3747466622575263
