,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,"Lobbying
(N/A)","Conflitto 
d'Interesse","Finanziamenti 
Politici
(N/A)","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Napoli,0.6,0.59,0.61,0.3,0.01,0.83,0.01,0.0,0.12,0.0
1,Medie Settore (Calcio),0.42,0.63,0.57,0.3,0.17,0.58,0.1,0.04,0.15,0.1
2,Medie Globali,0.65,0.75,0.68,0.53,0.38,0.61,0.18,0.41,0.47,0.37
