,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Magneti Marelli,0.6,0.94,0.89,0.75,0.5,0.83,0.4,0.4,0.69,0.75
1,Medie Settore (Altri settori),0.8,0.75,0.72,0.73,0.48,0.7,0.3,0.62,0.58,0.7
2,Medie Globali,0.65,0.75,0.68,0.53,0.38,0.61,0.18,0.41,0.47,0.37
