,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici
(N/A)","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Ferrero,0.8,0.94,0.61,0.5,0.5,0.83,0.01,0.0,0.56,0.0
1,Medie Settore (Food),0.54,0.53,0.53,0.34,0.3,0.43,0.0,0.34,0.32,0.1
2,Medie Globali,0.65,0.75,0.68,0.53,0.38,0.61,0.18,0.41,0.47,0.37
