,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Costa crociere,0.9,0.6470588235294118,0.5555555555555556,0.8,0.3333333333333333,0.75,0.5,0.2,0.5625,0.0
1,Medie Settore (Top brand),0.5399999999999999,0.5764705882352941,0.6555555555555557,0.58,0.4375,0.6166666666666668,0.15,0.3,0.375,0.1
2,Medie Globali,0.6518585974256925,0.7470035113613857,0.6799155398874456,0.5308708927260731,0.3804011465822533,0.6165113989639482,0.17597386570606205,0.4077622186071938,0.4747874981206908,0.3747466622575263
