,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Armani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Medie Settore (Fashion),0.44000000000000006,0.6705882352941176,0.6,0.3,0.2666666666666667,0.45000000000000007,0.25,0.2,0.275,0.25
2,Medie Globali,0.6518585974256924,0.7470035113613859,0.7293854958143259,0.5308708927260731,0.38040114658225327,0.6165113989639481,0.21996733213257758,0.4077622186071938,0.4747874981206908,0.3747466622575263
