,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici
(N/A)","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Wind Tre,0.6,0.8823529411764706,0.7222222222222222,0.55,0.5,0.8333333333333334,0.01,0.2,0.625,0.25
1,Medie Settore (Telefonia),0.74,0.9058823529411765,0.8222222222222222,0.5900000000000001,0.5499999999999999,0.7666666666666667,0.1,0.64,0.8,0.65
2,Medie Globali,0.6518585974256925,0.7470035113613857,0.6799155398874456,0.5308708927260731,0.3804011465822533,0.6165113989639482,0.17597386570606205,0.4077622186071938,0.4747874981206908,0.3747466622575263
