,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,"Lobbying
(N/A)","Conflitto 
d'Interesse","Finanziamenti 
Politici
(N/A)","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Cassa Depositi e Prestiti,0.6,0.9411764705882353,0.7894736842105263,0.35,0.01,0.8333333333333334,0.01,0.5,0.4375,0.0
1,Medie Settore (Finanziario),0.76,0.8823529411764707,0.8315789473684211,0.5800000000000001,0.41666666666666663,0.7500000000000001,0.375,0.6,0.55,0.65
2,Medie Globali,0.6518585974256924,0.7470035113613859,0.7293854958143259,0.5308708927260731,0.38040114658225327,0.6165113989639481,0.21996733213257758,0.4077622186071938,0.4747874981206908,0.3747466622575263
