,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,"Lobbying
(N/A)","Conflitto 
d'Interesse","Finanziamenti 
Politici
(N/A)","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Roma,0.4,0.7647058823529411,0.631578947368421,0.45,0.01,0.8333333333333334,0.01,0.2,0.125,0.25
1,Medie Settore (Calcio),0.42000000000000004,0.6352941176470588,0.6,0.3,0.16666666666666666,0.5833333333333334,0.125,0.04,0.15,0.1
2,Medie Globali,0.6518585974256924,0.7470035113613859,0.7293854958143259,0.5308708927260731,0.38040114658225327,0.6165113989639481,0.21996733213257758,0.4077622186071938,0.4747874981206908,0.3747466622575263
