,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Inter,0.2,0.47058823529411764,0.4444444444444444,0.1,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
1,Medie Settore (Calcio),0.42000000000000004,0.6352941176470588,0.5666666666666667,0.3,0.16666666666666666,0.5833333333333334,0.09999999999999999,0.04,0.15,0.1
2,Medie Globali,0.6518585974256925,0.7470035113613857,0.6799155398874456,0.5308708927260731,0.3804011465822533,0.6165113989639482,0.17597386570606205,0.4077622186071938,0.4747874981206908,0.3747466622575263
